iter	Passed	Remaining
0	0	981
1	1	867
2	2	822
3	3	805
4	3	795
5	4	748
6	5	749
7	6	748
8	6	754
9	7	751
10	8	746
11	9	746
12	9	746
13	10	743
14	11	742
15	12	740
16	12	738
17	13	735
18	13	716
19	14	716
20	15	715
21	16	714
22	16	713
23	17	713
24	18	711
25	18	710
26	19	709
27	20	709
28	21	708
29	21	711
30	22	711
31	23	710
32	24	708
33	24	708
34	25	707
35	26	706
36	27	705
37	27	694
38	28	694
39	28	692
40	29	692
41	30	692
42	31	692
43	31	691
44	32	684
45	32	683
46	33	683
47	34	686
48	35	686
49	36	686
50	36	686
51	37	685
52	38	685
53	39	684
54	39	684
55	40	684
56	41	684
57	41	678
58	42	677
59	43	676
60	43	676
61	44	675
62	45	674
63	45	672
64	46	671
65	47	669
66	47	668
67	48	668
68	49	668
69	50	668
70	51	668
71	51	667
72	52	667
73	53	667
74	54	667
75	54	662
76	55	662
77	55	661
78	56	661
79	57	661
80	58	661
81	59	661
82	59	661
83	60	661
84	61	661
85	62	660
86	62	656
87	63	655
88	64	655
89	64	654
90	65	654
91	66	652
92	66	652
93	67	651
94	68	650
95	69	650
96	69	647
97	70	647
98	71	647
99	71	646
100	72	646
101	73	646
102	74	645
103	74	644
104	75	644
105	76	643
106	77	643
107	77	642
108	78	641
109	79	641
110	80	640
111	80	640
112	81	640
113	82	639
114	83	639
115	83	638
116	84	635
117	84	634
118	85	632
119	86	631
120	86	631
121	87	631
122	88	628
123	88	628
124	89	627
125	90	627
126	91	626
127	91	626
128	92	626
129	93	625
130	94	625
131	95	624
132	95	624
133	96	624
134	97	623
135	98	623
136	98	622
137	99	621
138	100	620
139	100	620
140	101	619
141	102	618
142	103	618
143	103	617
144	104	616
145	105	616
146	106	616
147	106	615
148	107	614
149	108	613
150	109	613
151	109	612
152	110	611
153	111	611
154	111	609
155	112	608
156	113	607
157	113	607
158	114	606
159	115	605
160	116	604
161	116	604
162	117	603
163	118	603
164	119	602
165	120	602
166	121	603
167	122	608
168	123	608
169	124	608
170	125	608
171	126	607
172	127	607
173	127	606
174	128	605
175	129	606
176	130	606
177	131	605
178	131	604
179	132	603
180	133	602
181	133	601
182	134	601
183	135	600
184	136	599
185	136	598
186	137	597
187	138	596
188	138	595
189	139	594
190	140	594
191	141	593
192	141	592
193	142	591
194	143	590
195	143	590
196	144	589
197	145	588
198	146	587
199	146	587
200	147	586
201	148	585
202	149	585
203	149	584
204	150	583
205	151	582
206	151	581
207	152	581
208	153	580
209	154	579
210	154	578
211	155	577
212	156	576
213	156	575
214	157	574
215	158	573
216	158	572
217	159	571
218	160	571
219	160	570
220	161	569
221	162	568
222	162	567
223	163	566
224	164	565
225	164	564
226	165	564
227	166	563
228	166	562
229	167	561
230	168	560
231	169	559
232	169	558
233	170	558
234	171	557
235	171	556
236	172	555
237	173	554
238	173	553
239	174	552
240	175	552
241	176	551
242	176	550
243	177	550
244	178	549
245	179	548
246	179	548
247	180	547
248	181	546
249	182	546
250	182	545
251	183	544
252	184	544
253	185	543
254	185	542
255	186	542
256	187	541
257	188	541
258	188	540
259	189	539
260	190	538
261	191	538
262	191	537
263	192	536
264	193	535
265	193	534
266	194	533
267	195	533
268	195	532
269	196	531
270	197	530
271	197	529
272	198	528
273	199	528
274	199	527
275	200	526
276	201	525
277	201	524
278	202	523
279	203	522
280	204	522
281	204	521
282	205	520
283	206	519
284	206	518
285	207	518
286	208	517
287	208	516
288	209	515
289	210	514
290	210	513
291	211	513
292	212	512
293	212	511
294	213	510
295	214	509
296	215	508
297	215	508
298	216	507
299	217	506
300	217	505
301	218	504
302	219	504
303	219	503
304	220	502
305	221	502
306	222	501
307	222	500
308	223	499
309	224	498
310	224	498
311	225	497
312	226	496
313	226	495
314	227	494
315	228	494
316	229	493
317	229	492
318	230	491
319	231	490
320	231	490
321	232	489
322	233	488
323	233	487
324	234	487
325	235	486
326	235	485
327	236	484
328	237	484
329	238	483
330	238	482
331	239	481
332	240	481
333	240	480
334	241	479
335	242	479
336	243	478
337	244	478
338	245	478
339	245	477
340	246	476
341	247	476
342	248	475
343	248	474
344	249	473
345	250	473
346	251	472
347	251	471
348	252	471
349	253	470
350	254	469
351	254	469
352	255	468
353	256	467
354	257	467
355	257	466
356	258	465
357	259	465
358	260	464
359	260	463
360	261	463
361	262	462
362	263	461
363	263	460
364	264	460
365	265	459
366	265	458
367	266	457
368	267	456
369	267	455
370	268	454
371	269	454
372	269	453
373	270	452
374	271	451
375	271	451
376	272	450
377	273	449
378	273	448
379	274	447
380	275	446
381	275	446
382	276	445
383	277	444
384	277	443
385	278	442
386	279	442
387	279	441
388	280	440
389	281	439
390	281	439
391	282	438
392	283	437
