families,n_families,n_features,model,train_run_path,val_score,test_rmse,duration_sec,timestamp
global,1,4,rf,results/smoke_sweep\models\runs\4fbaefaf-cc89-46f4-a638-8eb55f468fbb,0.05710780192411889,0.05378393224970468,0.10547256469726562,1757518971.3586974
global,1,4,xgb,results/smoke_sweep\models\runs\b8b2fd9a-04b6-466b-bb71-622500a45603,0.06292752229365393,0.06257927363390746,0.035025835037231445,1757518971.5493062
global,1,4,lgbm,results/smoke_sweep\models\runs\1f7b184a-ff74-44a1-a778-76040c0ec841,0.05270871884062235,0.04742486375806803,0.1502389907836914,1757518971.5986955
global,1,4,catboost,results/smoke_sweep\models\runs\5e412f7e-9d63-40ac-a940-71485592467d,0.057759331886733635,0.055488706314192435,0.9070169925689697,1757518971.7586918
global|per_qubit_agg,2,7,rf,results/smoke_sweep\models\runs\61181747-29bb-4388-a8ae-8b889575ab85,0.0602593383300244,0.05509387595131684,0.1198117733001709,1757518972.724191
global|per_qubit_agg,2,7,xgb,results/smoke_sweep\models\runs\7417455c-166c-4dc5-8d7a-375b2d55121a,0.06870366245063057,0.060341149934079456,0.03361248970031738,1757518972.9112203
global|per_qubit_agg,2,7,lgbm,results/smoke_sweep\models\runs\99c0dfad-39e0-492a-9d88-40a4916c9e94,0.05691052657250614,0.05035553178912721,0.021553516387939453,1757518972.95915
global|per_qubit_agg,2,7,catboost,results/smoke_sweep\models\runs\ab733341-28d8-456c-8bdf-2f8be41c220f,0.059708032267258855,0.05677115662823874,0.8078486919403076,1757518972.993092
global|per_qubit_agg|local_density,3,10,rf,results/smoke_sweep\models\runs\7d1c0462-b911-461a-93b5-471f01591e5f,0.055770201407265345,0.050774180449354764,0.13675332069396973,1757518973.9026394
global|per_qubit_agg|local_density,3,10,xgb,results/smoke_sweep\models\runs\c311c941-a252-46c9-8d6d-b3a274640cfe,0.061636184813424144,0.057133185629968386,0.03462076187133789,1757518974.10253
global|per_qubit_agg|local_density,3,10,lgbm,results/smoke_sweep\models\runs\c853669b-d3be-4fe2-8a3f-308df760ec46,0.055389750867605246,0.05243031624469353,0.02581334114074707,1757518974.1507726
global|per_qubit_agg|local_density,3,10,catboost,results/smoke_sweep\models\runs\ac84d94a-e8f1-4054-a360-38e847fdb2c6,0.05682060505037897,0.055688111165638,1.0354955196380615,1757518974.186981
global|per_qubit_agg|local_density|graph_spectral,4,15,rf,results/smoke_sweep\models\runs\00caa395-db3e-4653-abdb-4c9b18c766b2,0.056752306381271655,0.051798106963926775,0.13394522666931152,1757518975.687369
global|per_qubit_agg|local_density|graph_spectral,4,15,xgb,results/smoke_sweep\models\runs\5b73ade7-49a7-4e1f-b786-72c96dae7716,0.061636184813424144,0.057133185629968386,0.03690028190612793,1757518975.886413
global|per_qubit_agg|local_density|graph_spectral,4,15,lgbm,results/smoke_sweep\models\runs\7a848fce-02f0-4c21-bcf3-f4c709b70024,0.055389750867605246,0.05243031624469353,0.024798870086669922,1757518975.9376113
global|per_qubit_agg|local_density|graph_spectral,4,15,catboost,results/smoke_sweep\models\runs\0b436792-c521-498b-9769-2c3378da2bd0,0.05682060505037897,0.055688111165638,0.8347749710083008,1757518975.9721942
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,rf,results/smoke_sweep\models\runs\94f126ce-fdfb-4f3a-ab9c-ed02178d04a5,0.05645983286749164,0.0511625598918111,0.14568471908569336,1757518977.2963693
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,xgb,results/smoke_sweep\models\runs\5814e0b9-3905-4031-9bdb-4a3b1e3f4f9e,0.06495434586662388,0.0577536537014926,0.03811526298522949,1757518977.5124028
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,lgbm,results/smoke_sweep\models\runs\46d76544-fcfe-4acb-ae39-a50183279b3c,0.05759516476484781,0.054409017425076076,0.02385568618774414,1757518977.5658996
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,catboost,results/smoke_sweep\models\runs\b4065dc0-0e5c-4958-b66c-48936f0a5f72,0.057345607629028524,0.053588871197427064,0.9535820484161377,1757518977.6008685
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,rf,results/smoke_sweep\models\runs\53038e7c-2267-4d0f-8302-134572638cf8,0.059668239648019865,0.051435806071117064,0.16263103485107422,1757518979.0529408
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,xgb,results/smoke_sweep\models\runs\8a3f0314-c784-49d2-8189-d0d464e4d4fc,0.06229681419610465,0.0597002657857558,0.03765511512756348,1757518979.2776985
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,lgbm,results/smoke_sweep\models\runs\630ff17b-a0b9-43ea-b613-fa03d2449206,0.053958784645893834,0.053963690343537256,0.025446176528930664,1757518979.331107
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,catboost,results/smoke_sweep\models\runs\0994f3ad-7e88-45a4-a37e-25124bcfceee,0.05629410703818404,0.05716522277215143,1.0211005210876465,1757518979.367421
